seller_region,country_code,brand,asin,reporting_date,top_bsr_position,bot_bsr_position,sales,performance,units,discounts,cogs,refunds,sde1,sessions_mobile,sessions_browser,sessions,pageviews_mobile,pageviews_browser,pageviews,topbsr_sales,botbsr_sales,units_sales,refunds_sales,sessionsmobile_sales,pageviews_sales,topbsr_sde1,botbsr_sde1,units_sde1,refunds_sde1,sessionsmobile_sde1,pageviews_sde1,topbsr_units,botbsr_units,units_units,refunds_units,sessionsmobile_units,pageviews_units
eu,uk,incite-nutrition,B00RXIIW7K,2023-09-18,4.0,18.0,2034.14,0.543467453,234,-70.71,-297.18,,711.36000000000013,254,219,473,374,286,660,0.0019664329888798215,0.0088489484499591955,0.11503633,,0.124868495,0.324461443,0.0056230319388214118,0.025303643724696352,0.3289473684210526,,0.35706252811515965,0.92780026990553288,0.017094017094017096,0.076923076923076927,1.0,,1.085470085,2.820512821
eu,uk,incite-nutrition,B00RXIIW7K,2023-11-10,3.0,23.0,3493.98,0.935099188,405,-52.74,-514.34,-19.29,1121.9899999999998,464,345,809,688,449,1137,0.000858619682997613,0.0065827509029817,0.115913657,-0.005520925,0.132799844,0.32541686,0.0026738206222871866,0.020499291437535098,0.36096578400877022,-0.017192666601306611,0.41355092291375156,1.0133780158468437,0.0074074074074074077,0.056790123456790124,1.0,-0.04762963,1.145679012,2.807407407
eu,uk,incite-nutrition,B00RXIIW7K,2023-10-15,4.0,29.0,3260.24,0.884809986,376,-24.5,-477.52,-21.49,957.71999999999991,416,289,705,635,384,1019,0.0012269035408436189,0.0088950506711162371,0.115328933,-0.006591539,0.127597968,0.312553677,0.004176586058555737,0.030280248924529091,0.39259908950423927,-0.022438708599590695,0.43436495008979664,1.0639852984170739,0.010638297872340425,0.077127659574468085,1.0,-0.057154255,1.106382979,2.710106383
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-29,2.0,14.0,2577.31,0.702759989,349,-31.39,-446.72,,652.25000000000011,381,276,657,608,371,979,0.00077600288673073867,0.0054320202071151706,0.135412504,,0.14782855,0.379853413,0.0030663089306247598,0.02146416251437332,0.53507090839402061,,0.58413185128401679,1.50095822154082,0.0057306590257879654,0.040114613180515762,1.0,,1.091690544,2.805157593
eu,uk,incite-nutrition,B00RXIIW7K,2023-10-04,5.0,47.0,,,,-0.98,,-20.34,-53.37,,,,,,,,,,,,,-0.0936855911560802,-0.88064455686715393,,0.38111298482293426,,,,,,,,
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-20,3.0,27.0,1644.04,0.460024153,188,-22.67,-240.64,-6.85,648.37,198,169,367,298,227,525,0.0018247731198754288,0.01642295807887886,0.114352449,-0.004166565,0.120435026,0.319335296,0.0046269876767894872,0.041642889091105389,0.2899578944121412,-0.010564955195335997,0.30538118666810615,0.80972284343816026,0.015957446808510637,0.14361702127659576,1.0,-0.03643617,1.053191489,2.792553191
eu,uk,incite-nutrition,B00RXIIW7K,2023-10-25,3.0,33.0,3244.49,0.855914565,443,-40.97,-562.61,-22.58,721.69,546,432,978,814,587,1401,0.00092464455122376712,0.010171090063461438,0.136539179,-0.006959491,0.168285308,0.431809005,0.00415690947636797,0.045726004240047663,0.61383696601033677,-0.031287671992129583,0.75655752469897042,1.9412767254638417,0.0067720090293453723,0.0744920993227991,1.0,-0.050970655,1.232505643,3.162528217
eu,uk,incite-nutrition,B00RXIIW7K,2023-09-10,4.0,19.0,2974.3,0.787900101,341,-69.86,-433.08,-31.21,897.47000000000014,387,240,627,598,331,929,0.0013448542514205022,0.0063880576942473852,0.114648825,-0.010493225,0.130114649,0.3123424,0.0044569734921501543,0.021170624087713235,0.3799569902058007,-0.034775535672501585,0.43121218536552747,1.0351320935518735,0.011730205278592375,0.055718475073313782,1.0,-0.091524927,1.134897361,2.724340176
eu,uk,incite-nutrition,B00RXIIW7K,2023-07-16,3.0,37.0,1956.12,0.522935431,224,-29.71,-286.72,-6.84,759.4799999999999,208,157,365,328,199,527,0.0015336482424391142,0.018914994990082409,0.114512402,-0.003496718,0.106332945,0.269410875,0.0039500711012798234,0.048717543582451159,0.29493864222889349,-0.0090061621109179969,0.27387159635540109,0.6938958234581557,0.013392857142857142,0.16517857142857142,1.0,-0.030535714,0.928571429,2.352678571
eu,uk,incite-nutrition,B00RXIIW7K,2023-06-15,3.0,26.0,1699.24,0.458900691,210,-56.95,-268.8,-13.55,554.98,203,166,369,314,221,535,0.0017654951625432546,0.015300958075374873,0.123584661,-0.007974153,0.119465173,0.314846637,0.0054056002018090738,0.046848535082345308,0.3783920141266352,-0.024415294244837651,0.3657789469890807,0.96399870265595156,0.014285714285714285,0.12380952380952381,1.0,-0.06452381,0.966666667,2.547619048
eu,uk,incite-nutrition,B00RXIIW7K,2023-08-24,4.0,20.0,1799.77,0.490634815,206,-26.67,-259.56,-15.92,677.23,229,168,397,332,236,568,0.002222506209126722,0.011112531045633608,0.11445907,-0.008845575,0.12723848,0.315595882,0.0059064128877929214,0.029532064438964604,0.30418026372133544,-0.023507523293415825,0.33814213782614472,0.83871063006659474,0.019417475728155338,0.0970873786407767,1.0,-0.077281553,1.111650485,2.757281553
